Benchmark,MOHAF (Média IGD),MOHAF (Desvio Padrão),NSGA-III (Média IGD),NSGA-III (Desvio Padrão),MOEA/D (Média IGD),MOEA/D (Desvio Padrão)
ZDT1,0.004844673759272752,0.00022655492415322895,0.0035234211439440395,6.276976444396917e-05,0.004015786741380799,0.00036360987697265686
ZDT2,0.005105966573520274,0.0003115706751172137,0.003422189880773044,1.0949574209283145e-05,0.003491653049413222,3.8502364157902e-05
ZDT3,0.005194006088222201,0.00035046702861738773,0.006007312271214581,0.00016504380331048185,0.009236108640271825,0.0003415744473157987
ZDT4,0.6993752770847121,2.083525534141652,0.004065780904875934,0.0006151345982124501,0.005384463901843871,0.0006065375612807183
ZDT6,0.003542856566210925,0.00028130972357775965,0.0030711248238060014,3.6058683170404605e-05,0.0033295679413116,6.402323671015116e-05
DTLZ1,14.075352081595346,3.180724209619091,0.019685453921042158,0.00020014679158821073,0.01961720213826397,5.09431538072514e-05
DTLZ2,0.11507216790889345,0.004085208803378487,0.05120551879685942,4.52922700355253e-05,0.05117475304176354,7.858822138596088e-06
DTLZ3,115.74117717413003,11.228763527888214,0.05399375471966816,0.003929692899449705,0.05320660374072006,0.0013665207443732195
DTLZ4,0.08620856665071655,0.00902099094143655,0.14109350624703246,0.2694427999253836,0.375771674709957,0.35477161903182636
DTLZ5,0.023392785869076706,0.001395098496205586,0.037545693506965246,0.0014979680202920397,0.034858409269052516,2.542550115573193e-05
